column,count,mean,std,min,25%,50%,75%,max,missing,skew
age,41188.0,40.02406040594348,10.421249980934235,17.0,32.0,38.0,47.0,98.0,0,0.7846968157646645
duration,41188.0,258.2850101971448,259.2792488364648,0.0,102.0,180.0,319.0,4918.0,0,3.2631412552628314
campaign,41188.0,2.567592502670681,2.7700135429021127,1.0,1.0,2.0,3.0,56.0,0,4.762506697067007
pdays,41188.0,962.4754540157328,186.9109073447436,0.0,999.0,999.0,999.0,999.0,0,-4.922189916418163
previous,41188.0,0.17296299893172767,0.4949010798393183,0.0,0.0,0.0,0.0,7.0,0,3.832042242861185
emp.var.rate,41188.0,0.08188550063125184,1.5709597405172309,-3.4,-1.8,1.1,1.4,1.4,0,-0.724095549247256
cons.price.idx,41188.0,93.57566436826262,0.5788400489541813,92.201,93.075,93.749,93.994,94.767,0,-0.23088765135788
cons.conf.idx,41188.0,-40.50260027192386,4.628197856174375,-50.8,-42.7,-41.8,-36.4,-26.9,0,0.3031798587481924
euribor3m,41188.0,3.6212908128581147,1.7344474048511707,0.634,1.344,4.857,4.961,5.045,0,-0.7091879563778315
nr.employed,41188.0,5167.035910944935,72.25152766826527,4963.6,5099.1,5191.0,5228.1,5228.1,0,-1.044262407089076
