feature,tool,task,association_strength,pearson_with_target,mannwhitney_pvalue,top_lift_level_rate
nr.employed,numeric_vs_binary_target,screening,-1.0534715113975006,-0.354678295921437,0.0,
duration,numeric_vs_binary_target,screening,1.041056430165237,0.40527380067931446,0.0,
euribor3m,numeric_vs_binary_target,screening,-0.998319173773761,-0.30777140394072033,0.0,
emp.var.rate,numeric_vs_binary_target,screening,-0.9533420218044378,-0.29833442615937866,0.0,
pdays,numeric_vs_binary_target,screening,-0.645126030173797,-0.3249144776166338,0.0,
previous,numeric_vs_binary_target,screening,0.5348372533483307,0.23018100321659138,0.0,
cons.price.idx,numeric_vs_binary_target,screening,-0.40181439599977536,-0.1362112128192492,9.572608866919173e-136,
poutcome,categorical_vs_binary_target,screening,0.32041608324741466,,0.0,65.1128914785142
month,categorical_vs_binary_target,screening,0.2739997307418747,,0.0,50.54945054945055
campaign,numeric_vs_binary_target,screening,-0.24752200589136356,-0.06635741475467104,3.418526631861268e-38,
job,categorical_vs_binary_target,screening,0.1518927590318406,,4.189763287563622e-199,31.428571428571427
cons.conf.idx,numeric_vs_binary_target,screening,0.15050354099737126,0.0548779460531957,5.901951166896616e-17,
contact,categorical_vs_binary_target,screening,0.14461114593852278,,1.5259856523129964e-189,5.231321457059293
default,categorical_vs_binary_target,screening,0.09911075061369182,,5.1619579513916376e-89,0.0
age,numeric_vs_binary_target,screening,0.08328754876932914,0.0303988030400037,0.01608053832750354,
education,categorical_vs_binary_target,screening,0.06722019964714289,,3.305189014402505e-38,22.22222222222222
marital,categorical_vs_binary_target,screening,0.05389959341461882,,2.0680146484422107e-26,15.0
day_of_week,categorical_vs_binary_target,screening,0.023187622046633435,,2.9584820052785328e-05,9.948320413436692
housing,categorical_vs_binary_target,screening,0.009458147765830698,,0.05829447669453452,10.808080808080808
loan,categorical_vs_binary_target,screening,0.0,,0.5786752870441754,10.808080808080808
