column,dtype,non_null,missing,missing_pct,n_unique,sample_values
duration,int64,41188,0,0.0,1544,"261, 149, 226, 151, 307"
euribor3m,float64,41188,0,0.0,316,"4.857, 4.856, 4.855, 4.859, 4.86"
age,int64,41188,0,0.0,78,"56, 57, 37, 40, 45"
campaign,int64,41188,0,0.0,42,"1, 2, 3, 4, 5"
pdays,int64,41188,0,0.0,27,"999, 6, 4, 3, 5"
cons.price.idx,float64,41188,0,0.0,26,"93.994, 94.465, 93.918, 93.444, 93.798"
cons.conf.idx,float64,41188,0,0.0,26,"-36.4, -41.8, -42.7, -36.1, -40.4"
job,object,41188,0,0.0,12,"housemaid, services, admin., blue-collar, technician"
nr.employed,float64,41188,0,0.0,11,"5191.0, 5228.1, 5195.8, 5176.3, 5099.1"
month,object,41188,0,0.0,10,"may, jun, jul, aug, oct"
emp.var.rate,float64,41188,0,0.0,10,"1.1, 1.4, -0.1, -0.2, -1.8"
education,object,41188,0,0.0,8,"basic.4y, high.school, basic.6y, basic.9y, professional.course"
previous,int64,41188,0,0.0,8,"0, 1, 2, 3, 4"
day_of_week,object,41188,0,0.0,5,"mon, tue, wed, thu, fri"
marital,object,41188,0,0.0,4,"married, single, divorced, unknown"
default,object,41188,0,0.0,3,"no, unknown, yes"
housing,object,41188,0,0.0,3,"no, yes, unknown"
loan,object,41188,0,0.0,3,"no, yes, unknown"
poutcome,object,41188,0,0.0,3,"nonexistent, failure, success"
contact,object,41188,0,0.0,2,"telephone, cellular"
y,object,41188,0,0.0,2,"no, yes"
