model,label,precision,recall,f1-score,support
LogisticRegression(balanced),no,0.94987127063456,0.8580027359781122,0.9016028175088047,7310.0
LogisticRegression(balanced),yes,0.3651376146788991,0.6433189655172413,0.46586031993757315,928.0
LogisticRegression(balanced),accuracy,0.833818888079631,0.833818888079631,0.833818888079631,0.833818888079631
LogisticRegression(balanced),macro avg,0.6575044426567296,0.7506608507476767,0.6837315687231889,8238.0
LogisticRegression(balanced),weighted avg,0.8840017837776951,0.833818888079631,0.8525169911254467,8238.0
RandomForest(balanced_subsample),no,0.948567335243553,0.9057455540355677,0.9266620013995801,7310.0
RandomForest(balanced_subsample),yes,0.4523052464228935,0.6131465517241379,0.5205855443732845,928.0
RandomForest(balanced_subsample),accuracy,0.872784656470017,0.872784656470017,0.872784656470017,0.872784656470017
RandomForest(balanced_subsample),macro avg,0.7004362908332232,0.7594460528798528,0.7236237728864323,8238.0
RandomForest(balanced_subsample),weighted avg,0.8926640555123595,0.872784656470017,0.880918015951607,8238.0
